target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences
total,"['sum', 'sum total', 'balance', 'gross']",NOUN,"Kim:
				I have completed the invoices for April, May and June and we owe
					Pasadena each month for a total of $3,615,910.62. I am waiting to hear
					back from Patti on May and June to make sure they are okay with her.","Kim:
				I have completed the invoices for April, May and June and we owe
					Pasadena each month for a total of $3,615,910.62. I am waiting to hear
					back from Patti on May and June to make sure they are okay with her.","Kim:
				I have completed the invoices for April, May and June and we owe
					Pasadena each month for a **total** of $3,615,910.62. I am waiting to hear
					back from Patti on May and June to make sure they are okay with her."
think,"['have in mind', 'suppose', 'presume', 'reckon']",VERB,"Nepthys turned to me. “Well, kid, what do you think? Remember, this is your quest.","Nepthys turned to me. “Well, kid, what do you think? Remember, this is your quest.","Nepthys turned to me. “Well, kid, what do you **think**? Remember, this is your quest."
okay,"['ok', 'fine', 'alright', 'all right']",ADJ,"He turned to me. Nepthys nodded: “It’s okay, you can trust him. That’s why we came here.”","He turned to me. Nepthys nodded: “It’s okay, you can trust him. That’s why we came here.”","He turned to me. Nepthys nodded: “It’s **okay**, you can trust him. That’s why we came here.”"
checking,"['investigate', 'try']",VERB,"“Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!” I turned to keep going, but he caught my arm again.","“Listen, man, he’s not there! I’m telling you, it’s not even worth checking the bar!” I turned to keep going, but he caught my arm again.","“Listen, man, he’s not there! I’m telling you, it’s not even worth **checking** the bar!” I turned to keep going, but he caught my arm again."
call,"['summon', 'order', 'sic', 'rally', 'send']",VERB,"…I thought as much. Now leave, before I call the rats on you.”
            We left.","…I thought as much. Now leave, before I call the rats on you.”
            We left.","…I thought as much. Now leave, before I **call** the rats on you.”
            We left."
drove,"['force', 'push', 'ram', 'press', 'plunge']",VERB,"I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer drove it in. The vampire fell forward and blood began to flow from his mouth.","I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer drove it in. The vampire fell forward and blood began to flow from his mouth.","I stepped up behind him and raised my hands, which almost seemed to be glowing. Then the stake came down into his back and one, two, three strikes with the hammer **drove** it in. The vampire fell forward and blood began to flow from his mouth."
swear,"['swear to god', 'guarantee', 'give ones word', 'cross ones heart', 'swear up and down', 'vow', 'declare under oath']",VERB,"""I was
stopped in San Francisco one time by a Japanese tour bus. I swear.
They all thought I was Steve Martin.","""I was
stopped in San Francisco one time by a Japanese tour bus. I swear.
They all thought I was Steve Martin.","""I was
stopped in San Francisco one time by a Japanese tour bus. I **swear**.
They all thought I was Steve Martin."
asked,"['request', 'inquire']",VERB,"Come on, let’s go.”
            As we left the bar, I asked to see the rock. “Why?”","Come on, let’s go.”
            As we left the bar, I asked to see the rock. “Why?”","Come on, let’s go.”
            As we left the bar, I **asked** to see the rock. “Why?”"
case,"['example case', 'scenario']",NOUN,"Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly
				stealing Western corporate communications. He cited the case of a Swiss
				oil trader who recently put out bids via telex for an oil tanker to pick
				up a cargo of crude in the Middle East. Among the responses the Swiss
				trader got was one from the Soviet national shipping company, which
				hadn't been invited to submit a bid.","Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly
				stealing Western corporate communications. He cited the case of a Swiss
				oil trader who recently put out bids via telex for an oil tanker to pick
				up a cargo of crude in the Middle East. Among the responses the Swiss
				trader got was one from the Soviet national shipping company, which
				hadn't been invited to submit a bid.","Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly
				stealing Western corporate communications. He cited the **case** of a Swiss
				oil trader who recently put out bids via telex for an oil tanker to pick
				up a cargo of crude in the Middle East. Among the responses the Swiss
				trader got was one from the Soviet national shipping company, which
				hadn't been invited to submit a bid."
open,"['unshut', 'uncovered']",ADJ,"Two points of fire opened in my throat for an instant, then all went numb. Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.”","Two points of fire opened in my throat for an instant, then all went numb. Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.”","Two points of fire **open**ed in my throat for an instant, then all went numb. Taste, hearing and touch became a single blur, and I do not know if my eyes were open. My mind began to dissipate, but then I felt the pain withdraw and a lifeless voice said, “This one’s blood isn’t worth drinking.”"
jealous,"['envious', 'envying']",ADJ,"Karnes had his own Jeep, and went
to the beach and to evening movies shown by other units as often as
he could. But at the movies, he had to remove the distributor cap
on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous
airmen who resented the 509th.


   Not until the day before Tibbets and his crew flew to Hiroshima
was the 509th told what was happening.","Karnes had his own Jeep, and went
to the beach and to evening movies shown by other units as often as
he could. But at the movies, he had to remove the distributor cap
on his Jeep so the vehicle wouldn't be stolen, perhaps by jealous
airmen who resented the 509th.


   Not until the day before Tibbets and his crew flew to Hiroshima
was the 509th told what was happening.","Karnes had his own Jeep, and went
to the beach and to evening movies shown by other units as often as
he could. But at the movies, he had to remove the distributor cap
on his Jeep so the vehicle wouldn't be stolen, perhaps by **jealous**
airmen who resented the 509th.


   Not until the day before Tibbets and his crew flew to Hiroshima
was the 509th told what was happening."
lead,"['guide', 'show the way', 'escort', 'usher', 'direct']",VERB,"A twitch of her fingers summoned her pale servants. “One of these will lead you out.”
            I stood, and one of her servants took me and Amy to the door.","A twitch of her fingers summoned her pale servants. “One of these will lead you out.”
            I stood, and one of her servants took me and Amy to the door.","A twitch of her fingers summoned her pale servants. “One of these will **lead** you out.”
            I stood, and one of her servants took me and Amy to the door."
chances,"['odds', 'probability', 'luck', 'possibility', 'opportunity']",NOUN,"I thought that my odds were better on the dance floor.
            Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the chances of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd.","I thought that my odds were better on the dance floor.
            Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the chances of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd.","I thought that my odds were better on the dance floor.
            Holding Amy in my arms as we ducked between the crush of dancers, I started to wonder if the **chances** of finding this vampire were even good enough to merit this. I wasn’t sure that I could survive the crush of the crowd."
kind,['considerate'],NOUN,"“May I invite you to have a cup of tea?”
            “No, thank you,” said Nepthys, “we regret that we cannot take up your kind offer. Are you the proprietor of this shop?”
            “Yes,” answered the woman.","“May I invite you to have a cup of tea?”
            “No, thank you,” said Nepthys, “we regret that we cannot take up your kind offer. Are you the proprietor of this shop?”
            “Yes,” answered the woman.","“May I invite you to have a cup of tea?”
            “No, thank you,” said Nepthys, “we regret that we cannot take up your **kind** offer. Are you the proprietor of this shop?”
            “Yes,” answered the woman."
minute,"['min', 'moment']",NOUN,He downed the second shot. “I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people.,He downed the second shot. “I am glad to be out of the favor-trading scene for half a minute. It’s exhausting to talk to those people.,He downed the second shot. “I am glad to be out of the favor-trading scene for half a **minute**. It’s exhausting to talk to those people.
says,"['suggest', 'state', 'allege', 'imply', 'declare', 'convey', 'mention', 'announce', 'claim']",VERB,"One way would be to speed up the flow of health supplies and other
				urgent commodities to the country under a U.N. humanitarian program, he
				said.
			Iraq says the United States and Britain hold up delivery of needed
				supplies, using their clout in the United Nations. The U.S. government
				says it wants to ensure that Iraq is not buying items that appear to be
				humanitarian in nature but that could be used for making weapons.","One way would be to speed up the flow of health supplies and other
				urgent commodities to the country under a U.N. humanitarian program, he
				said.
			Iraq says the United States and Britain hold up delivery of needed
				supplies, using their clout in the United Nations. The U.S. government
				says it wants to ensure that Iraq is not buying items that appear to be
				humanitarian in nature but that could be used for making weapons.","One way would be to speed up the flow of health supplies and other
				urgent commodities to the country under a U.N. humanitarian program, he
				said.
			Iraq **says** the United States and Britain hold up delivery of needed
				supplies, using their clout in the United Nations. The U.S. government
				says it wants to ensure that Iraq is not buying items that appear to be
				humanitarian in nature but that could be used for making weapons."
box,"['container', 'chest', 'case', 'package', 'crate', 'trunk']",NOUN,"When we got there, another pale servant was waiting for us with a box of dark stained wood. He offered it to Nepthys, who opened the box: on velvet lining, a wooden hammer and two stakes. 
            “Mountain ash,” said Nepthys.","When we got there, another pale servant was waiting for us with a box of dark stained wood. He offered it to Nepthys, who opened the box: on velvet lining, a wooden hammer and two stakes. 
            “Mountain ash,” said Nepthys.","When we got there, another pale servant was waiting for us with a **box** of dark stained wood. He offered it to Nepthys, who opened the box: on velvet lining, a wooden hammer and two stakes. 
            “Mountain ash,” said Nepthys."
way,"['means', 'mode', 'process', 'manner', 'course', 'method']",NOUN,"It flashed in the strobe where it wasn’t streaked with Dvorov’s blood.
            “He wasn’t the only one with a secret or two,” he said by way of explanation. “You spotted our boy, didn’t you?","It flashed in the strobe where it wasn’t streaked with Dvorov’s blood.
            “He wasn’t the only one with a secret or two,” he said by way of explanation. “You spotted our boy, didn’t you?","It flashed in the strobe where it wasn’t streaked with Dvorov’s blood.
            “He wasn’t the only one with a secret or two,” he said by **way** of explanation. “You spotted our boy, didn’t you?"
