target_words,substitutes,query_pos,original_sentences,corrected_sentences,tagged_sentences
do,"['perform', 'carry out', 'accomplish']",verb,With the tour giude you can't do something that you want to do it becuse of the tour guide and you eill fell like you are in pressure.,With the tour guide you can't do something that you want to do because of the tour guide and you will feel like you are underpressure. ,With the tour guide you can't **do** something that you want to do because of the tour guide and you will feel like you are under pressure.
hear,"['listen to', 'receive', 'perceive', 'comprehend']",verb,We had better to hear the oral communication with genuine experienve about the materials.,We had better hear oral communication with genuine experiencers about the materials. ,We had better **hear** oral communication with genuine experiencers about the materials.
not,"['barely', 'hardly', 'scarcely']",adverb,"Because I don't have no various academic knowledge , I can not promote the manger first time.","Because I didn't have any various academic knowledge , I could not promote the manager the first time. ","Because I didn't have any various academic knowledge , I could not **promote** the manager the first time."
find,"['locate', 'identify', 'discover', 'obtain', 'secure']",verb,There are also an other reason because I agree a wide knowledge and it is that a person with broad knowledge can find work more easy than a person with a specific knowledge,There is also an other reason because I agree with a wide knowledge and it is that a person with broad knowledge can find work more easily than a person with a specific knowledge,There is also an other reason because I agree with a wide knowledge and it is that a person with broad knowledge can **find** work more easily than a person with a specific knowledge.
think,"['contemplate', 'consider', 'reflect', 'ponder']",verb,"When I think of buying electical products, I need durable goods.","When I think of buying electrical products, I need durable goods. ","When I **think** of buying electrical products, I need durable goods."
less,"['somewhat', 'slightly', 'significantly']",adverb,So I think that the cars less useful nowadays because so dangerous for people and the earth.,So I think that cars are less useful nowadays because they are so dangerous for people and the earth. ,So I think that cars are **less** useful nowadays because they are so dangerous for people and the earth.
agree,"['concur', 'align', 'assent']",verb,On my point of vew i agree much with specializing in one specific academic subject more than having broad knowledge of many subjects.,"In my opinion, I agree with specializing in one specific academic subject more than having broad knowledge of many subjects. ","In my opinion, I **agree** with specializing in one specific academic subject more than having broad knowledge of many subjects."
shame,"['humiliation', 'embarrassment', 'disgrace', 'dishonor']",adjective,"i think it's not a shame to ask question ,i ve got a lesson from my cousin & my friend ,","i think it's not a shame to ask a question , I've got a lesson from my cousin & my friend ,","I think it's not a **shame** to ask a question, I've got a lesson from my cousin & my friend."
get,"['achieve', 'obtain', 'score', 'earn']",verb,"After this events, we can get a godd grade in quizs, and exams.","After these events, we can get a good grade in quizzes, and exams. ","After these events, we can **get** a good grade in quizzes, and exams."
child,"['kid', 'adolescent', 'youngster', 'toddler']",noun,So if achild remain fits he can engoy his life,So if a child remains fit he can enjoy his life,So if a **child** remains fit he can enjoy his life.
